text;label
gm ga diserang, di dlm nya ngumpet teroris dan gudang senjata mrk. israel jga sdh memberi wkt agar pasien dan para medis menyingkir, tp byn yg sok pahlawan, ya habis.;no
eh, sigukguk komen...;no
periksa dibawah rs ada terowongan gak..;no
ngomong apa kau jing;no
boikot semua produk israel. ini genosida. bukan perang;no
sudah disuruh menyingkir dari jauh jauh hari sebagai sona perang tak mau mengubris;no
sept 2021 s/d nov 2023...... kemana aja kalian imigrasi......jgn...jgn...;no
kita harus punya integritas negara yg tinggi tidak usah takut dengan negara lain... orang2 spt itu lsg saja deportasi tidak boleh masuk ke negara kita sampai kapanpun... kalau tidak spt itu kita akan di jajah terus menerus.... indonesia harus punya harga diri...;no
dulu/waktu-tiongkok-blm-berkuasa/tabungan-rakyat-di-bank-sedikit-jadi-banyak-jika-lama-ga-diambil-kini-tabungan-lama-bisa-jadi-habis-karna-alasan-biaya-administrasi(cara-tuyul);no
negara kita surga bagi pelaku kriminal, demikian jg myanmar, kamboja, philipina dan bbrp lg negara lain, penyebabnya pengawasan lemah, aparat gampang disogok, ada penduduk setmpt yg melindungi demi duit;no
ini menjadi pelajaran bagi kita kedepannya jika ingin mengambil kesimpulan harus berdasarkan data yang lengkap, apalagi sebagai orang-orang terpelajar jangan salah mengambil kesimpulan karena bisa jadi membuat malu diri sendiri didepan publik jagad maya.;no
mk aja bisa dibeli kalau ijazah mah kecil apalagi cuma hasil penilaian kesetaraan ijazah kelulusan perguruan tinggi luar negeri..bagian dari sinetron anak presiden mah bebas buat ap saja beli ap saja juga.semua orang jg tau nga usah diperlihatkan kaliiiiiii🧐;no
bsc itu setingkat s1. kalau mau lanjut s2 (master degree), lgsg bersama-sama dgn yg s1 dari indonesia.;no
dokter kok pikirannya iri dan suka menyebarkan keraguan ke orang lain punya ijazah. coba tunjukkan juga ijazah dokternya utk lucu lucuan juga biar pada tidak meragukan juga;no
bsc itu gelar sarjana muda setingkat d3 di imdonesia. sangat wajar klo ditempuh dengan 4 semester. saya malah ragu ama ijazahnya dr tifa 🤣;no
hebat orang ini;no
upah menjelang pemilu...;no
itu yg sebenarnya ditakutkan, permintaan terlalu tinggi, swasta banyak tutup, pengangguran lebih besar.;no
cuba datang ke pabrik tanya umr nga...;no
teori doang....diatas kertas 3 juta gaji aja masih banyak;no
swasta banyak tutup kaga sanggup.... phk banyak.... kejahatan meningkat...;no
betul akan terjadi inflasi;no
harga barang ya harus ikut naik, buat bayar gaji karyawan, kalo gak naik pabrik ya bangkrut;no
percuma pak tetep ga bisa beli agya sama ninja....berarti masih miskin pak;no
lapangan pekerja akan semakin sempit disana. perusahaan2 asing akan mikir2 buka perusahaan di jakarta;no
gak naik juga barang tetep naik. liat aja nasi padang, warteg pernah gak turun harga?;no
cukup beli apa naik segitu;no
guru-honorer/juga-wajib-naik-70%-100%/sesama-pekerja- juga-honorer-yg-lain/harian-lepas/ kuli-bangunan-juga;no
ump naikkan saja 10 jt, biar bahagiakan yg kerja dan bankrutkan pengusaha.;no
upah buruh naik tinggi, otomatis harga harga barang juga akan naik tinggi. yang sengsara pekerja kecil dan guru honorer.. pernah gak sih buruh memikirkan guru gur honorer...;no
kenapa bayi2 itu lahir prematur ,tidak normal lahirnya ,apa tidak busa ditunggu kelahirannya cukup umur untuk melihat dunia. kasian banget;no
btw ini yg rawat israel supaya pada tau. difasilitasin. biar ga kemakan konten hoax;no
hahaha .. hamas (proxi iran - syah) itu hanya bisa menjual ayat mayat dan agama, demi untuk kepentingan politiknya dan agar lancar donasi dari seluruh dunia ... apek deh;no
syukurlah bayi2 ini bisa dibantu dievakuasi sama israel.coba dari awal dengerin israel utk mau dievakuasi bisa lebih banyak nyawa2 diselamatkan.tp hamas yg melarangnya krn hamas butuh buat tameng,jd jelas ini kesalahan hamas.;no
salah satu kejahatan perang hamas yang paling buruk adalah penggunaan rumah sakit untuk menyembunyikan infrastruktur teror mereka.;no
siapa yang mengirim semua inkubator² itu supaya bayi² bisa diselamatkan kalau bukan israel? kemana hamas?!;no
ma'f israel ada niatan jaht,tujuany mau nhebom rs asyifa biar warga gaza tidak bisa ter obati,biar mati smua wrga gaza.trus mau di tempati israel,bajingan jahannam.;no
macan lagi bobo digangguin... same juge ngegodain orang gokil... akhirnya jadi ikut gokil...🤠;no
wkwkwkwk... teori buzzer nih, ada udang di balik bakwan... kejar target komen bang?;no
kompas sekarang banyak buzzer yang nongkrong, kejar target harian posting komen. maklum, cari duit....;no
ah, pengetahuan sejarah lu cuman dari tgl 7 oktober ya? sebelumnya belum lahir?;no
gak mesti ada hubungan diplomatik lah... pakai lobi dengan otak dan nurani. kalau perlu, aksi yg lebih dari sekedar lobi. banyak penguasa negri yg punya otak tapi tidak mendengarkan hati nurani;no
indon ga ada pengaruh di mata israel,pejabat indon terlalu banyak cloteh,maka nya rs di bom;no
dengan cara apa pemerintah menunjukkan nyali ? hubungan diplomatik aja nggak;no
"ini kurang pekanya pemerintah apa gimana ?... daripada alumni hti,fpi yg katanya membela dgn embel2""islam lbh baik diberangkatkan ke gaza, jgn teriak2 di perpolitikan tanah air. hizbut fron pembela islam hayo jihad ke jalan surga.";no
benar, bapak mewakili kenjyataan.;no
biarkan saja. tidak penting. bisa jd mereka bagian dr yg lindungi teroris. banyak warga lain yg lebih patut diurus. kalo mau jelas bu menlu pimpin tim kesana...sekalian cek terowongan yg ada dibawa rs.;no
indonesia telah dilecehkan oleh israel terkutuk. pemegang kekuasaan negri ini, tunjukkan nyalimu...;no
sungguh membingungkan..rs dijadikan sarang teroris..koq medis y pd diam n berbohong..;no
nanya ke idf, pasti terjawa;no
ya ngak papa syahid;no
udah disuruh pergi tp ga mau sih...;no
dibantu ketemu 72 bidadari kq pada komplen yak;no
halah ngapain menlu capek2 cari 3 wni di gaza.. bukankah mereka disana berjihad. kalo udah menang pasti mereka kembali dng bawa piala;no
netanyahu harus jadi fokus penjahat perang, jangan israel. kekacauan ini ulah pemerintah netanyahu. soal tentara tembaki sipil memang kebiasaan mereka;no
bilang kekejaman israel....tapi pada saat hamas masuk ke wilayah israel dan membunuh 1200 warga sipil israel, tdk ada yg mengutuk ? israel tdk akan menyerang kl tidak di serang duluan..;no
tumpas habis !!! lalu didalam rs ada terowongan bawah tanah tempat persembunyian teroris hamas di bor dan lumatkan ke akar2nya teroris hamas,semakin cepat semakin baik utk menghindari korban sipil dan anak2.;no
ngapain bangun rs disana… lebih baik bangun rs di daerah terpencil negri sendiri…;no
kompaaas tolong benerin kolom komentaaarr;no
inilah kekurangan , pengutukan , pemerintah indonesia yg tidak mau menjalin hubungan diplomasi dengan israel sehingga tak dapat mengetahui rakyatnya dalam keadaan darurat perang. malah mengclaim israel tapi tidak mampu mengclaim hammas atau unrwa;no
woi pakai logika dong lihat realita apa kamu udh tahu ada api lalu mau ikutan jg kena manusia diberikan pikiran biar tahu mana yg bahaya apa engga bahaya woi;no
suatu saat kejadian kamu yg mengalami gmn?;no
nikmati saja;no
lawan kkb aja gk becus mau lawan israel ya gk nalar;no
biasa lah sok mau jd pahlawan pada susah dibilangin hadapi sendiri skrang;no
mk nya jgn sok jago. klo di suruh israel mengungsi, ya mengungsi.;no
pokoknya kalo sampe kenapa2, pemerintah nga boleh tinggal diam, harus terjunkan tni demi kehormatan bangsa selamatkan wni dr kekejam israel bosku;no
20 x kecepatan suara apa kek;no
dikit-lagi-perang-brutal;no
dikit-perang-brutal-negri- islam- garis-keras-dg-500-ribu-set-icbm-20-kali-kecepatan-suara-ke-israel;no
kan mau mate suahid, ga mau dievakuasi i, pilihan dewek napa diributin cak;no
benar jauh 2 bikin rumah sakit di indonesia kurang apa lagi puskesmas;no
rs indonesia kok bisa diserang ya? kayanya dalam pemikiran israel warga indonesia harus perbanyak dulu rumah sakit di negara sendiri;no
wow ada buzzer israel disini.. sitalasari sama wes dibayar brapa?;no
kegiatan disana high risk dgn kejadian ini - rs indonesia ya begitulah jadi nya;no
"andai wartawan kompas mau ""survey"" ke israel seperti yerusalem dan wilayah lain perbatasan dgn palestina di luar zona perang , ternyata warga palestina dan israel berinteraksi seperti biasa. ratusan rb warga palestina tetap bekerja di israel. bahkan ribuan warga palestina justru ngungsi ke israel.";no
makanya indo jng munafik. segera buka hubungan resmi spy dlm keadaan darurat mampu menekan;no
semoga selamat dan bisa pulang segera ke tempat yang aman..;no
ternyata sekeluarga macan semua, setelah dibesarkan banteng yg membesarkannya dia makan jg. mgkn begitu sakit hati dgn perkataan mak mega, sehingga etika dibuang ke tengah laut.;no
lebih baik mbak puan bersama pdip fokus pemenangan gama dan tidak perlu membahas para pengkhianat.;no
kalau puan berencana ketemu jokowi ini tindakan yang sangat bijak mumpung semuanya belum menjadi bubur, kalau sekarang ada komunikasi, bisa jaga2 bila nantinya prabowo satu putaran sehingga pdip ada harapan mau berlabuh ke siapa.....tidak perlu malu dan jangan gegabah dulu mengeluarkan jokowi;no
angkat bambang pacul jadi ketum pdip biar seru;no
pak joko wi setelah menyelesaikan tugas negara, langsung pamit ke pdip untuk keluar, beliau akan membuktikan dirinya apakah tanpa pdip pak joko wi bisa jadi bapak bangsa meski sekarang kamu hina dan dihujat , beliau sudah kebal dgn hal hal fitnah dan hinaan.;no
kembali sadar dari halusinasi, ternyata pdip tampa pak jokowi hanyalah macan ompong, kesadaran yg terlambat setelah smua ujatan permusuhan terlanjur trlontarkan, kekalahan pdip dah pasti dan yg bisa diharapkan dg berbaikan dg pak jokowi hanyalah kedepan bisa di ajak gabung kembali dg koalisi kim,,,;no
kebingungan x;no
tanpa jkw kalian merintih...buat narasi2 yg menyindir hasil kinerja hukum jelek padahal menteri nya sopo..ya cawapresnya dewe...aneh🧐;no
ngomong kok koyo kentut;no
mana yang lebih tinggi ya, ketua partai atau presiden? negara ini diperintah oleh satu partai atau presiden. semoga anies atau prabowo menang, asal bukan ganjar (pdip);no
binatang aja setia pada tuannya, loh koq manusia tdk setia pada kelompoknya?;no
mbapu.. jokowi itu sdh di posisi tertinggi di negara ini ,dimata pemimpin negara lain sdh dihormari. gk bth posisi dia... yg dipikirkan itu posisi pedeih dimana, di blkang atau sebrang..;no
"dulu bilangnya "" jokowi tanpa pedeipeh bukan apa apa"" sekarang terbalik "" pedeipeh tanpa jokowi bukan apa apa"", akibat kesombongan dan haus kekuasaan jadi bgt deh";no
kalau saya jadi jokowi,sdh saya tolak permintaan dari pihak pdip untuk bicara masalah politik dan tetekbengeknya...pak jokowi cuma mau di manfaatkan jgn mau pak 😂😂😂✌;no
sudahlah mbak ... pdip cabut dukungan ke pemerintahan jokowi selanjutnya jadi oposisi ...biarkan jokowi ambil sikap sendiri posisinya di pdip, jika punya malu tentunya mengundurkan diri .... wassalam;no
"perbanyak literasi lae. diberi kisi-kisi ya...""kasus bts menkominfo"". #semogatercerahkan";no
jujur memang ada efek jokowi. oleh sebab itu mesti cerdas menanggapi isu2 memecah belah jokowi dgn pdip.;no
begitulah kali petugas partai bro.;no
ibu ini ambigu antara mendukung garis keras ibunya dan mempertahankan elektibiltas partainya.;no
pdip naik dan menang juga krn faktor jokowi;no
mengganggu wkt kerja presiden saja..;no
sesuai ad/art partai pecat aja, kalau takut ada udang dibalik bakwan, gitu aja kok repot;no
barangkali suruh kembalikan kta...🤭;no
bicara jngn kayak kentud;no
hempaskan penghianat;no
selam malam way puan marani wa;no
makanya banyak baca boss, lihat tuh kasus bts, salah satu perusahaan yg terlibat milik suami puan. komen jgn asbun.;no
biarkan jokowi milik bangsa dan negara indonesia....bukan milik satu partai..mari kita dukung misi dan visinya untuk indonesia emas;no
intervensi ??? contoh ?? secara kasat mata jokowi diberi karpet merah dr mulai walikota hingga presiden, anaknya dan mantunya juga dikasih karpet merah.....kurang apa pdip ???? hanya saja minta 3 periode dan penundaan pemilu ya ditolak....;no
politik main dua kaki?;no
langsung aja pecat, berani kagak ? 😀;no
banyak drakor niih;no
telat buu...pak jokowi dah punya pilihan...kalian terlalu banyak intervensi selama 10 tahun. skrg baru ketahuan;no
biasa kaya main kartu capsa.. lg nyusun bawah. tengah..ama atas...;no
pph..partai patah hati.. ringkad deh..;no
justru saya kasian sama yg menolak kalau tahun depan mereka presidennya. apa pensiun, apa nanti jadi oposisi;no
boleh juga nih kalau di atur buat bahas pak senang. yuk bisa yuk.;no
biarkan aja jokowi keluar dari pdip, gak tau di untung.;no
jokowi hasil kerjanya nyata... gp prestasinya apa ? sebagian besar senior pdip juga gak dukung gp masih inget ada yg mau buat dewan kolonel ?;no
ganjar baru capres aj sdah berani mengkritisi pak jokowi,,,,ntar d tinggal beneran nyinyir nyungsep,,,,g usah nyalain siapa² majulah dgn gagasan visi misi demi pemilu yg riang gembira;no
intinya lagi ada pembagian pemotongan kue 🍰 wkwkwkwk....biar pada aman;no
yang jelas pdip berdiri di dua kaki yg berbeda ,ini sangat menguntungkan ke depannya;no
mahfud md pilihane gustialloh kanggo indonesia;no
petugas partai mesti tegak lurus ap kt partai, ganjar baru capres dh berani jln sendiri? halo pdip.;no
kalo prabowo gibran gagal jd presiden, saya kasihan sama pak jokowi dkk, lalu nanti pd kemana yaa?;no
naik dr hongkong;no
ini calon presiden 2029 mbak puan;no
kalau elektabilitas pasangan ganjar-mahfud mau naik mbak puan maharani harus dicoret dari tim kampanye ganjar-mahfud karena mbak puan main dua kali dan lengket dengan jokowi.;no
setuju, jd gibranpun masih merasa mantap jd kadernya pdip krn ayahnyapun tidak dimusuhi bahkan diberi posisi sebgi dewan pembina partai;no
gp kritis terhadap jkw bertujuan agar meraih simpati publik, tetapi faktanya justru sebaliknya dan elektabilitas gp turun terus;no
sy setuju mbak puan bersikap luwes tidak kaku nggak kaya si rudy mo kumis kucing sombong, katanya mementingkan persahabatan tp suka nyinyir sesm kader;no
ganjar sdh jd anteknya bu mega,jokowi dari terbatalnya sepak bola u 20 karna tdk setuju israel hadir lalu dibuatkan seragam baju strep hitam putih pelan2 ganjar sdh enggan pakai,jokowi sdh lihat gelagat,makany ganti arah,kebetulan kim ngotot pinang gibran(dia sendiri mau) jadilah sinetron baru.;no
sudah saatnya pdip tidak tergantung dgn jokowi, kami dari akar rumput sudah muak dgn org yg lupa dibesar oleh pdi-p;no
tanya jokowi punya kta pdip ngak,klau ada suruh kembalikan terus pecat.gitu aja kok repot...masalahnya berani pecat ora ? 😂🤣;no
hidup jokowi;no
maju terus pdip, kritiklah penguasa yg mencederai konstitusi dan tidak mampu bersikap netral dalam pemilu meskipun dia adalah kadermu sendiri.. demokrasi lebih penting daripada kadermu..;no
pak jokowi banyak pendukungmya..sayangnya pada rival pemilu lembek;no
"sebelum kasus ""paman n ponakan"" kita melihat jokowi itu baik, ramah, mudah disentuh..tp begitu dia ""dekat"" dgn prabowo publik jd takut dan menjauh, dia bukan jokowi yg dulu lg, skrg harus hati2. sifat2 kejam, licik, rakus, temperamen sdh mulai masuk. itu sangat bahaya karena dia berkuasa saat ini..";no
serangan gp ke pemerintahan jokowi soal hukum dapat poin 5 sudah ditangkis oleh puan sendiri dgn mengatakan kelakuan gp itu bukan atas instruksi partai pdip. silahkan baca beritanya di media lain.;no
mb puan bijak hendak memposisikan jkw sbg dewan pembina partai, bosku;no
pdip tdk ada apa apanya tanpa jokowi, mari kita lihat nanti pada pilpres 2024.;no
jokowi kan minta jd ketum ya jelas gak bisa..;no
semoga watak dan pemikiran mbak puan mewarisi dari bung tautik kemas bapaknya arif bijaksana semoga;no
penjara krn kasus apa? inilah contoh netizen indo maha benar yg doyan menyebar fitnah. maklum aja iq rata2 penduduk disini cuma 78. wkwkwk..;no
om.jokowi tenang2 aja.yg penting sehat2 selalu.;no
di pdip cuma puan yang takut sama jokowi, mungkin karena takut suaminya dipenjarakan;no
pendukung ganjar ya pengukung jokowi. pdip dan ganjar serang jokowi sama saja bunuh blunder...bunuh diri...;no
jadwal nya : ulangan aljabar dan sejarah;no
ganjar tetaplah menyuarakan kebenaran... dari pada melacurkan diri pada kekuasaa yang halalkan segala macam cara..;no
jika mmg mempunyai kemampuan membuat lrbih baik tampilkan tnp hrs menghsncurkan jerih payah yg sdh dibangun,.. jgn buat rakyat menderita hny krn ingin merebut kepemimpinan, pakai cara yg elegan jika tdk ingin berhadapan dgn publik, .. hikz;no
tidak ada relevansinya mengkritik pemerintahan saat ini. krn presiden bukanlah incumbent ya oom .. jgn menghalalkan segala cara yg bisa menghancurkan negara ini, kecuali siap dihantam dr segala lini oleh publik .. hikz;no
klo menurut saya level ganjar 2 tingkat diatas jokowi. belum pernah se serakah yg itu.;no
ganjar oh ganjar, belum apa2 sudah berani mengkritik p. jokowi, padahal yg saya tahu, anda ini levelnya jauuuuh di bawah p. jokowi.;no
hwi, beliau itu presiden, tidak ada unsur partai, nggaknusah jumawa, kalau saat pemilu kemaren kalian tidak dukung jokowi, sudah pasti nyungsep, coba ngaca..nggak usah merasa paling benar padahal pembohing dan mukul dari belakang...bertobat kalian;no
rugi besar pdip klo kecilkan peran dan kinerja jokowi sbg presiden ri bandingkan pilpres 2004 & 2009 capres megawati kalah pileg & pilpres dgn 2014 & 2019 capres jokowi...menang pileg & pilpres cerita sukses yg sulit didapat pdip lg di pileg& pilpres 2024 krn akibat sikap egois/ jumawa;no
hahaha mau memainkan opini publik ya???? keputusan tsk tampaknya adalah keputusan profesional, dari awal terpilih juga sudah ada aura2 hitam kok, lembaga paling dicintai sekarang hancur lebur, siapa yg milih ya????;no
seharusnya firli wajib menjaga nama baik polri krn di rubuhnya mengalir darah bhayangkara polri.;no
awas kalau sampai kalah ane pecat ente..mau pengin berapa lg emang ente butuh naturalisasinya...?;no
timnas takut maen diluar,jago dikandang itupun lawan ecek2,sehebat apapun pelatih,mental pemaen tetep lembek,;no
lebih berani maksudnya apa..? memangnya lawan hantu apa? kl lebih cerdas dan cepat mengalirkan bola boleh, pelatih asing kadang gak paham bahwa metode latihan,evaluasi dan karakter pemain kita lain dg dinegaranya..harus cerdas lah,dibayar milyardan lho;no
udah kartu mati sama irak apalagi filipina yang main chaplin semua mental tempe makanya ngak bakalan maju mentok asean;no
yg.penting nyali.dan.mental.biar badan kecil2 tapi nyali dan mentalnya harus kuat dan sebaliknya.badan gede.kalau nyali dan mental krupuk.harus dibuang jauh2.ok contoh korea dan jepang.ok.;no
ngomong apa si luh koh;no
bawaslu-/kpu/ojo-pura2-nggak-tahu;no
budaya santun dan beretika tidak ada lagi....semua bertindak seenaknya....merusak tatanan masyarakat yang harusnya dijaga....tidak ada lagi tuntunan dan tontonan yang benar..;no
di tunggu komen jongos jokowi;no
kecurangan satu per satu muncul;no
takut kalah...survei bayaran..;no
di acara 13 tahun mata najwa, saya mendengar lansung gibran mengajak media ke balaikota untuk memverifikasi ijazahnya. setelah ini, saya harap kita harus berhati-hati, karena akan banyak berita yang di latar belakangi orang-orang berkepentingan. kita harus dewasa berdemokrasi & hati2 dgn polarisasi.;no
dr tifa ini ya seneng banget ngurusin hidup orang kemarin bapak nya sekarang anak nya.trus kmu sendiri sipa gitu lho.;no
tenang saja gibran ... kami disini mendukungmu !!!;no
satu-satunya presiden jokowi yg banyak kritikan dari kalangan bawah sampai kalangan mantan penjabat, apalagi para pembenci lebih sadis kritikannya. yg penting bagi sy, yg sy mau indonesia harus maju lebih dari sekarang, masa bodoh ribut-ribut para pendukung tapi sy tetap pilih no 3 titik;no
kelihatan kok orang yg sadis, kurang etika, tidak punya budi pekerti, dll. akan dia lakukan apapun demi capai ambisinya, asal bisa diatur karena kuasa kekuasaan pasti akan dilakukan, aparat desa dimobilir. sy yakin itu hanya segelintir orang aja;no
benar dia dan kroninya bilang palsu terus dia juga yng mengcounter, dramanya udh gitu dari awal, biar dpt simpati, masyarakat dah cerdas;no
lho kok ngerti banget lo dan lo kalini sangat benar;no
laialah itu kan mmg planning bpknya dgn mengangkat prabowo sbg menhan betul kan;no
paling yg lempar isu relawannya sendiri,biar ada ksmpatan u liatin ijazah,seolah nih loh lulusan ln...wkwkwkwk;no
lulusan sma kalau bisa bekerja dengan baik ya bagus. . daripada para haters yang lulusan pt tetapi gak mampu berbuat apa apa kecuali nyinyir;no
setelah lulus 2010, 9 tahun kemudian baru disetarakan. untuk keperluan apa ya? berarti persiapannya sudah dari tahun 2019....ok ok okelah kalau begitu.;no
yang bener yg mana sudah australia,lnggris dan skrg lulusan singapura. plintat plintut sih orangnya gibran g jelas.;no
lulusan singapura ttp tdk pernah tinggal disingapura ...aneh ...apa beli ijazah ya;no
kan banyak jg berterimakasih pada pak lurah dah diangkat jadi pembantunya,,mungkin sebsgian dah ada yg balik modal dia kan anake pa lurah;no
bapaknya sebelumnya udah pernah kena. bayagin musti jadi presiden untuk rakyat yg ngebenci presidennya. kurang bersyukur. kebanyakan gw liat hidupnya susah nyalain presiden / pemerintah, padahal usaha aja kaga.;no
padahal bapake bilang jangan beli barang2 asing, jangan berobat ke luar negri. karena memboroskan devisa. eh anak2 nya malah sekolah di luar negri.;no
yg menuduh tentu pihak2 yg merasa galau gugup cengeng lemah dan kagak pede.;no
melihat itu hasil kerjanya,bukan dr tampang nya...percuma kalau kagak bisa kerja biarpun tampang nya oke punya.paham yaa;no
s1 gua aja jadi bungkus tempe;no
tuduhan karangan dari kubu diri sendiri, supaya lebih dapat simpatik. ngerti lah gaweannya org politik.;no
masalah ijazah saja dibikin heboh... itu mark zuckerberg cuman ijazah sma. baru dpt ijazah s-1 honoris causa. baiknya gibran bawa si tifa tuh ke dokter jiwa, agar disambung kabel syarafnya yg putus.;no
gak diragukan lulusan s.1 nya. bahkan lulus program revolusi mental dari yang mulia bapak presiden indonesia. makanya kaum muda belajar dengan semangat yaaa...;no
anak karo bapak podo wae..;no
hahahaha,;no
apapun yg berkaitan dg presiden jokowidodo bagi pembencinya pasti menjadi polemik yg hangat...;no
msh blm move on bung,krg wawasan;no
semoga perangkat desa dari pak lurah tidak pada masuk angin, dan terus buang gas dan baune tak lagi alami.;no
di indonesia..siapapun yg hanya lulusan sma boleh jadi capres/cawapres ...berterima kasihlah pada megawati..hihihihi..;no
drs ini gelar sarjana jaman dulu pasti udah tua bangka, skripsinya juga beli kali di bikinin orang, dari komennya aja ketauan kurang literasi ga intelek, ga pernah up date berita.;no
kebiasaan lu tong. kl orang baik lu panas2in. giliran yg jelas2 udah salah mecah belah umat bisa kebal gitu;no
kecurigaan ijazah s1 gibran oleh kalangan yg kritis itu sah-sah saja dalam negara demokrasi, lebih2 paduka presiden jokowi sampai sekarang belum mampu memperlihatkan ijazah aslinya kepada para wartawan dan dimuka pengadilan, ya dari itu maka pantas saja anak paduka presiden juga dicurigai ijazah nga;no
saya tahu ini cuma banyolan untuk menguras kouta internet saja;no
kalian jangan pada nyinyir, gibran itu bukan manusia sembarangan, dia manusia setengah dewa, jabat walikota aja belum tamat, langsung didaulat untuk jadi cawapresnya pk prabowo oleh golkar, dan disetujui oleh seluruh partai pendukung yg bukan oartai kaleng2;no
dokter tifa ini kelihatan kurang kerja ya, selalu cari2 masalah, kalau dokter pernah tdk menyelamatkan pasien parah langsung menjadi sehat kembali, jangan2 hanya ngasih bodrek, paramex, altalgin saja kepada pasiennya, kalau hanya itu saja, saya juga bisa beli di warung2 tepi jalanan.;no
