text;label
kamu goblok or bloon ? apa saya marah melampiaskan ke orng2 terdekat saya ! masih mending saya hajar kau ! kasih tau di mana alamat kau pro israel ! walaupun kami tau kalian itu kumpulan banci tidak kan berani terang2an membela sih bangsa pilihan yang ternyata penakut juga;yes
makan itu sodare mu hai orang-orang aceh . mereka pemalas itu ingin menetap tidak mau kembali lagi . ha ha ha .;yes
tai tahi ! kalah kok demo . tai !;yes
bagus , musnahkan teroris hamas , bebaskan gaza dari teroris hamas;yes
begini kalau pejabat dungu dan tidak inovatif , bukannya mencari lapangan pekerjaan bagi mssyarakat , ini malah mempersulit .;yes
wajahnya kelihatan maruk duit saat jadi pimpinan kpk;yes
omongan orang tidak usah didengerin .;yes
putin memang bangsat seenak jidat caplok tanah air . mirip zaman penjajah belanda indonesia dijajah 350th . indonesia bersama rakyat ukraina . go tapi zaman penjajah rusia;yes
masih bingung mau dukung ahok atau tidak hahahahhaha;yes
hamas pesek mah sukarela terima pengungsi palestina . katanya dapat pahala .;yes
wan abud bisa apa sih taunya rumah resapan rumah sehat rumah lapis jangan deh jakrta sudah di bikin kacau sama anis apalagi ini urusan bangsa yang besar;yes
iblis ! penyakit lagi , pandemi . heran saya , kenapa mesti dari sono nya sih ? !;yes
salah satu orang munafik . ;yes
itu kalau dibaca . . itu hasil survei dunia blok . jangan kamu kasih judul blok goblok;yes
pada . anjing . punya kamu . dan nyender . tidak bakalan orang jadi sange kalau lihat biji melinjo punya kamu;yes
wah bahaya ini kalau kelompok wan abud menang  ikn jadi sarang koruptor berjemaah;yes
ciri khas manusia biadab ya ini ! ;yes
bangga sebangga bangganya lalu hina sehina hinanya . donald donald duck . !;yes
karena dia bkn indonesia . hanya ktp nya saja wni tapi otaknya pendukung israel yahudi zionis ! jadi wajar lah dia cepu antek antek nya israel;yes
mereka kan sama semua . jadi sudah biasa;yes
dulu pernah saya ingatkan lewat komen begini . karena melihat marshel sudah tua dan belagu . saat itu aku bilang . sadar kamu itu jelek . bersyukur bisa masuk tv . ikut cara tukul yang humble dan pintar berteman . jago berinvestasi juga . kontrakannya ratusan . hingga tidak kekurangan saat tidak ada job di tv .;yes
oloh eswetek kini berpihak ke israel . stok bidadari habis , tinggal yang tua , yang ham ass yang mokad pada cenggur;yes
beda partai sama capresnya super goblok , yang saya heran kenapa sih brewok n caplin tidak ikut-ikut goblok;yes
betuuul . masa sih mar ini belum sadar ya . masih menyembah mayat ya .;yes
malaysia adalah negara kadrun;yes
betul , bung . mereka nganggap kita ini buta batin dan bodoh semua . nyatanya kita mati nurani;yes
makanya gibran harus maju agar pembangunan ikn segera terlaksana , jakarta mau tenggelam , negara2 maju memindahkan ibukota negaranya agar arus urban bisa berkurang . kalau capres tolol pasti idenya tolol .;yes
ini saudara bukan ? palestina kan ? israel termasuk tidak ? geng arab saja tidak mau butuh hubungan sama israel karena mereka tau siapa hamas itu teroris ayam sayur yang ngumpet di ketek warga sipil . pengecut;yes
lucu kagak komika ? , muka hancur , angkuh , gaya sok kaya , sok ngartis , prestasi kagak ada . siap saja ngegembel  !;yes
ini benar biadab , terkutuk itu kkb tersebut , lantas apa ? sangkut paut dengan tenaga kerja tersebut , yang sekedar mencari nafkah untuk klrganya , pada bapak tni polri kenapa , kok tidak tuntas itu hal kkb , semakin hari makin merajalela . ! apakah tni polri cuman nongkrong saja di warung kopi kau ini digaji uang rakyat . ! ;yes
makam jokodok di kelilingi ramapati;yes
orang lain perang antar negara , adalah gobloknya kita yang malah jadi perang saudara .;yes
des . des . meminta hukuman ringan ndas mu , itu mic dan pl di pegang;yes
sudah aku duga . qory pasti akan selamatkan suami tengiknya itu . apa bisa disebut bego sih qory ini . ? ? suami kampretnya itu pegang kartu truf qory , hati kedepan qory . bisa dibunuh kamu sama laki tengik itu kalau kamu bikin salah paham , paling nanti suaminya Cuma bilang khilaf . lol .;yes
p dukungn jokowi . ahok brjuta2 rakyat cerdas tidak mungkin memilih gibran . dungu plonga plongi enggak ada kmpuan . msuh banyak generasi muda potensi bukan karbitan;yes
anak ingusan bilang apa . ? ada pepatah di daerah kami itulah sifat ketika orang . sudah bisa . memakai sepatu mereka lupa kalau bumi tempat berpijak mereka;yes
gila sudah , sampai ketua kpk saja terindikasi memeras dan gratifikasi , hancur sudah hukum di negara ini , oh Tuhan;yes
mulai ketularan wan kibul , kiamat malah kalau kamu menang ;yes
oh imigran kadal gurun disana nongol semua . kalau kamu orang tidak suka sama kebijakan inggris kamu keluar saja . dasar hama pendatang kamu pada . ;yes
yang komen memang goblok semua atau memang bagian dari buzer untuk giring opini . ? tinggal tidak usah dipilih , beres kok . ;yes
habisin gan . kalian itu sbnr nya superior . biar kan janda2 ankce gemoy kirim ke sini y . sebentar ane naturalisasi . jadi tkw .;yes
bodoh . baca tidak sih beritanya , kan jelas jelas berdasar pemerintah israel yang klaim sudah jatuhkan bom sebanyak itu . dasar tolol;yes
capres paling hancur adalah anies . asal beda saja sebetulnya . tidak punya masterplan yang kuat . dki saja rusak diacak2 . jis doang dibanggain .;yes
lah masih jadi kadrun sejati saja sih dokter gadungan tifu tifu ini , malah dia mempertanyakan ijazah dokternya die ini , apa betul dia sked lanjut koas dan jadi dokter ?;yes
sih at tai bacot . . saya gampar lo;yes
menunggu giliran buat cuap2 . ujung2 nya berantakan mau ketawa2 ini ehmalah . sudah merusak konstitusi ternyata untuk manusia dungu . hancur cuk;yes
the edge of death .;yes
kentut lo yang global din;yes
berita tv sore ini , firli masih nangani kasus hari ini , ahok ogah meninggalkan gdg kpk . rupanya harus anjing bulldog untuk ngeluarkannya;yes
rohnya sudah mati . anjing . cari lonte kenapa bos ? cari beginian . ditusuk sudah sama kaum pelangi nanti .;yes
orang aneh , tidak tahu malu , tidak dibunuh orang sudah syukur kamu paman perusak mk;yes
kadrun2 Indonesia pro palestina itu karena ikut-ikutan dan takut bersuara beda . nanti bisa dibully n persekusi . padahal banyak warga islam Indonesia yang suka dengan israel , pro israel , mendoakan israel secara khusus agar menang lawan teroris hamas .;yes
ajang curahan hati kafir , karena tuhannya dibungkus terpal bekas ikan asin;yes
eh jotos , komengan low malah enggak bermanfaat sama skale;yes
anjing . suporter yang ! tangkap langsung bunuh ! itulah kalau hukum tidak tegas .;yes
wahai orang jawa apa mau dipimpin orang yaman , wong suku oke jawa tidak berminat jadi capres karena menyadari yang bisa jadi presiden njri adalah orang asli jawa;yes
ya jesus itu orang yang sudah mati . dia itu bukan nabi isa as . masa mayat di sembah;yes
kalau anda mengurus lebih kacau lagi karena anda tidak tahu apa apa cuma bisa berkoar koar sok pintar padahal goblok dasar laknat, .;yes
banyak yahudi pesek di kolom komentar , banyak yahudi kalen ditanyain opa htler , enak jamanku tapi;yes
cuk ! omongan mu tidak berbobot  sarimin ? !;yes
hai orang tolol . ente harus sadar , jokowi itu presiden terbaik tidak korup , sederhana , merakyat , sarjana kehutanan ugm dengan ijazah yang sah . jadi tidak usah meragukan integritas dan kualitas apa jokowi . jangan fitnah , memframing dan menghina presiden r . i jokowi . ;yes
penjajah mengambil yang bukan haknya ! negara khayalan yang tidak tau diri , sampai kapanpun tidak akan pernah aman yang namanya penjajah , ada waktunya nanti ketika as dan eropa goyang atau rusuh , disitulah zionis israel akan hancur !;yes
putin memang bangsat . tidak ada rasa kemanusiaan sedikitpun . semoga negara anda kelak yang hancur . ;yes
pak kita sudah bangun foodestate di toba dan kalimantan , apa khabar proyek raksasa itu pak ?;yes
penampakan bumi tahun 2023 goblok;yes
sepertinya tidak ada pesta s  . soalnya setiap peluru dan rudal sudah diolesi minyak babi . itu biar matinya makin merana , sudah mati otongnya entah kemana , eh batal ketemu 72 bidadari gara kena minyak babi . sial benar .;yes
tikus got sudah kepepet jerit2 dalam lobangnya tinggal tunggu palanya pecah;yes
hhhhhhh orang bento mencalonkan presiden di guyu rakyat , mana mungkin bangun tol tanah petani di sewa bikin otomatis bikin ruwet . tidak tambah bangun itu bikin masalah . hhhhhh anis anis wong goblok mencalonkan presiden . hhhhhh yang mendukung kamu itu maluh sendiri karena wawasan mu dangkal . ;yes
ganjar kontol babi , ente tukang isepinnya , dasar tukang moncong bangsat;yes
mental maling mana punya malu malu . moral saja sudah rusak;yes
keren , tidak kayak sih anus , masa iya kampenye dimulai di tanah merah jakarta utara yang notabene dulu diankasih imb untuk masyaraka , padahal itu daerah berbahaya depot pertamina plumpang , padahal juga sebelumnya pak ahok sudah melarang masyarakat tinggal di situ , dan terjadilah kebakaran menelan korban jiwa . ;yes
kebanyakan minum susu onta kamu sambil menonton hoax;yes
kebanyakan makan haram , makanya timbul penyakit baru dari negeri sih pete , bosku;yes
kalau pemimpin bisa ngomong cuman joget goyang giliran di goyang masalah stroke mikir pemimpin yang menyejahterakan rakyat yang punya ide dan gagasan bkn yang goyang anjing;yes
lebih baik turunkan saja si mak pongah itu .;yes
ganjar benar ! yang tanya dungu itu ! ? ! hahaha . ;yes
ucok ini adalah preman jalanan yang beriq 20 , datang dari keluarga besar dan nasbung hunter . cok ucok !;yes
partai congor busuk harus tenggelam dan gurem lagi;yes
negara sudah gersang , rakyat dibodoh bodohin ame penguasa hamas dan masih saja mau gusur israel yang sudah jadi negara berdaulat . setelah habis rata dengan tanah mau dibuatbapa lagi ? yaaa biarkan saja jadi gurun saja dan rakyat palestina dipindah ke negara konoha ! setuju kan ? seperti keinginan sih capres ! ;yes
bagaimana mau maju sepak bola indonesia . kalau permainan dilapangan dibawa keluar negeri dengan merusak dhn hayi penuh kebencian . yang goblok itu penontonnya .;yes
akeh sing dungu ? dadine guru sing stres ?;yes
sih yaman kelas nya ada sumur resapan dan patung bambu .;yes
ada hikmahx antar pendekar2 sekarang baku hantam hahaha . mereka kan manusia biasa juga lah tidak pernah ke dunguan .;yes
sih h sudah ketularan sih ania , asal mangal tidak pakai otak;yes
lebih2 yang menyerang dia lebih dungu dari keledai tidak mengerti maksud ganjar . lah kalau tidak mau dukung dia supaya menang kok nagih2 ini itu sama dia tolol kalian ngih jilat pantat prabowo subianto dan bocil dulu supaya apa yang mau kalian nagih dikabulkan . tapi ingat kalian harus jilat sampai kilat ya;yes
kenapa tidak dibawa saja ke petamburan biar dapat tauziah dari bibib tentang agama sehingga bisa hidup nyaman bersama orang yaman di jakarta ! sip kan ! ? setuju kan bro demi menegakkan agama mekah ? asyik;yes
yahudi tekutuk , beraninya hanya kepada wanita dan anak anak . tamatlah kau israel , gurun pasir yang tandus adalah tempat yang pantas untuk yahudi yang selalu haus darah .;yes
tolol . ai kalau sampai kayaknya terminator , ente pikir tuhan akan diam saja ? kagak lah . yang jelas pasti ada konsekuensi nya , kalau manusia mcm2 soal ai .;yes
indonesia tidak berotak kosong tapi penuh dengki , weleh hidup sekali cari pemyakit;yes
bagaimana mau maju negara kalau presiden nya wawasannya seperti itu jakarta saja tidak mampu kok sok ngurusin indonesia ;yes
gambaran sesungguhnya kaum bodoh . bodoh dan dungu;yes
begitulah pengaruh kaum kalamin . kebusukan sudah dibongkar majelis kehormatan mahkama konstitusi , masih tidak tahu malu . dasar tahi babi .;yes
model emak-emak begini kalau bawa motor kayakmana ini banyak . banyak bikin claka orang pasti;yes
berarti kalau di batalkan , tidak pernah ada dong calon pemuda yang bisa jadi wakil presiden atau presiden , jadi hak yang tua tua saja , bau tanah , memperkaya diri , dan korupsi sampai mati;yes
jokodok bangga2in hub dengan negara china , sedangkan di hati para pejabat china itu tertawa membatin di dalam hati lu maunya meminta hutang saja memangnya gue rebtenir pinjol lebih baik kasih bebas visa ke malaysia yang sportip .;yes
islam kalau banyak negara merdeka , di eropa pun ingin kuasai eropa , agama bangsat !;yes
cuma basa basi wong sih gibran sudah maju jadi cawapres . kasihan rakyat cuma dibodohi doang . ;yes
bangsa biadab begitu tega menyengsarakan anak kecil . entah siapa yang mengajari gerombolan biadab ini . ;yes
lu saja tinggal disana biar kaya babi;yes
yang beli diatas 50 ribu mas .;yes
anaknya penipu , . bagaimana orang tuanya ya , . lahir dari rahim penipu , . hahahahahahahah;yes
mestinya ibu enggak boleh mengomong begitu tapi ibu larang . hehehe . artinya sih orang tua ini tidak bisa jaga emosi dan jaga lisan . itulah karakter seorang otoriter , pemaksa , angkuh , sombong dan masih kekanak kanakan walaupun sudah bau tanah .;yes
iblis itu adalah teroris hamas . ey , bukan . kasihan iblis dsmkn dengan teroris hamas . teroris hamas lebih iblis daripada iblis . iblis setan saja slg dukung untuk rayu goda manusia buat dosa . teroris hamas malah jdkn warga sipil sebagai tameng sarana publik seperti rs jadi markas gdg snjt trwng .;yes
kebanyakan makan haram , makanya timbul penyakit baru dari negeri sih at , bosku;yes
2045 kamu mati duluan opung . ;yes
coca cola dkk , investor2 yang susah didapat siap angkat kaki . bangunan mereka buat mereka . investor pergi dibarter dengan imigran2 gaza , imigran rohingya yang miskin , unskilled , namanya hidayah bagi mereka !;yes
ya alhamdulillah ada yang bagi bagi rezeky untuk petugas babinsa . itu kalau ada yang nyinyir otaknya konslert atau keinjek ota itu . ;yes
tni juga sering jadi korban , pakai ksad baru ayo dong gunakan senjata2 yang ok itu buat tumpas kkb biadab , dikit2 takut ham , mana peduli sama ham sama masyarakat dan tni yang jadi korban .;yes
narasinya seperti anak baru bisa baca . pintar menurut pengikitnya yang lulusan sd . jangan sampai jadi kadrunesia . bangkrutlah kita;yes
makin jelas lagi kartumu , selain sih biadab yang sok pahlawan tapi cengeng pengecut , beraninya Cuma rame rame , kelakuan persis anjing berani saat gerombolan . mereka yang korps seragam sangat gue kenal tidak bakalan nurut sama kamu . sesuatu yang berarti saja . kalau tidak mampu , diam membaca membuat kamu kelihatan lebih pintar;yes
inilah ksalahan pemerintah . pemerintah indonesia lemah atau munafik karena hai mnampung menerima aspirasi warga pro teroris hamas yang adalah mayoritas populasi . aspirasi warga pro israel tidak diakomodir karena minoritas . jelas yang mulai serangan biadab adalah teroris hamas . harusnya pemerintah indonesia kutuk , . ;yes
ciri otak kadrun pembela teroris , selalu memaki maki , mengatai orang dgb istilah kaum otak sebelah . apa lu merasa pintar . dasar kaum kadrun , tidak ada yang salah dengan mendukung rakyat palestina , yang jadi biang kerok adalah hamas yang rebut kekuasaan dari rakyat palestina dan selau cari gara-gara dengan israel .;yes
lihai apaan ? sama titit gede juga . . diuwel uwel tiap mlm , pasti y mewek juga .;yes
sih yaman kelas nya kelas sumur resapan dan patung bambu . ;yes
senior yang goblok jadi marketing kok menyalahkan junior ! kalau cari anggota ya harus senior nya yang melakukannya karena dapat keuntungan pribadi dari komisi nya . senior goblok dihajar sampai koma dulu or patahkan tangan n kakinya yang membuat junior nya tewas itu baru di gol kan;yes
komen kamu tidak masuk akal , tidak mungkin suatu bangsa bisa jadi negara maju bila diisi manusia bodoh dan biadab;yes
yang ngambil tidak punya otak sudah ada himbauan tapi masih ngeyel;yes
dipecat  habis itu suskes dipercaya rakyat jadi gubernur . ibu kota indonesia . artinya dia punya capabilitiy , dibandingkan cuma yang bisa plonga polongo .;yes
. kalau dibaca blok . itu hasil survei dunia blok . jangan kamu kemakan judul blok goblok;yes
bangsaku tidak seperti itu , hangat hangat tahi ayam . kemarin kejadian , hari ini sibuk , besok terlupakan . cari kejadian lain , demikian adanya . dulu rohingya sibuk dibela , sekarang bodo amat , ada palestina yang sedang hangat .;yes
itulah kalau otaknya , bundel , bebal sebagai menteri pejabat negara walaupun , pakai sistem apa saja kalau sdmnya , serta moralnya . rendah manusia tersebut tetap korupsi , jadi tidak perlu sok an lah hut luhut nada bicara bacotmu itu real tidak perlu sok keminter kau . ! urus saja krjanmu sendiri . !;yes
jika memang hamas percaya nabi nabi yahudi . nabi musa nabi harun . nabi daud dan sebagainya . dll artinya hamas percaya fakta sejarah . tapi buktinya , hamas sangat benci yahudi . maka seharusnya hamas hapus semua nabi yahudi dari kitabnya . apa juga masih percaya ? ;yes
manusia biasa kok masih mau di tanggapi . !;yes
bodoh banget pemikiran orang ini . memang lo pikir lo bisa menjabat lagi . tolol kok dipiara;yes
wkwkwk . kadrun petamburan tersinggung ! ;yes
tidak juga , biasa cuman untuk lucu2an , justru komentar wan abud yang bikin orang parno;yes
otak kadrun tidak jauh dari lanatullah , ganti namamu jadi anisa itillailah ! ;yes
para gen saja yang tolol kayak begini memang sudah pantas mati lebih cepat . ayo siapa lagi para gen saja yang mau menyusul kayak dia ? biasanya dari kaum pecinta goyang gemoy ini yang pikirannya ala sumbu pendek .;yes
anak songong enggak tau etika . ;yes
kelakuan biadab zionis israel ya . catat itu para pembela zionis;yes
agamamu opo min , taubat min , kamu sudah melupakan allah swt , omongamu kayaknya pantat monyet .;yes
anak bangsa model lu . otak pesimis nyumpahin bangkrut . komentar saya lu memang tolol dan goblok , bacot nyinyir , tidak ada solusi , cuma mengatai , pemalas ! ;yes
. israel . adonai eloheinu adonai ehad !;yes
tidak jelas program apa yang akan dilakukan ganjar bagi indonesia ke depan . yang ada hanya nyinyir play victim dan peluapan dendam . yang ada malah mahfud yang giat paparkan agenda islamisasi indonesia yang bertentangan pancasila dan nkri . justru mahfud sekarang yang terlihat lebih kadrun dari anis . ;yes
baru nyadar omongannya dasar bajingan;yes
fir fir , jangan pakai baju oranye dongok;yes
sing pengecut iku raimu boleh , angger njeplak conggormu . ;yes
paman  yang bisa loloskan fb , segera hubungi anus .;yes
wah bahaya ini kalau kelompok wan abud menang bisa2 ikn jadi sarang koruptor berjemaah;yes
entah bego , tolol atau dua-duanya orang-orang ini . anak-anak depok masih kurang makan eh sok-sokan bela negara orang lain yang kenal juga tidak . orang arab saja santai2 . mabuk agama memang bikin otak jadi kosong !;yes
non muslim di imdonesia pro israel karena palestina mayoritas muslim . itu saja , tanpa tau sejarah bagaimana israel merebut tanah palestina;yes
tahi benar ini . . !;yes
indonesia mau jadi apa di bawah prabowo gibran ? rusak ! cendana , militer berkuasa ! prabowo monster ! ;yes
kan kamu kebalik . .;yes
i5r4hellis dungu n picek . banyak omong kosong disini .;yes
apakah sih dosen akan di penggal di gorok leher seperti di prancis ? islam , islam . ! ketik di youtube quran di buang ke tempat sampah di negara negara islam ini 100 fakta empiris . ! supaya otak mu tidak jadi otak onta dul . ! ;yes
ini akibatnya pejabat publik tapi otaknya kosong tidak bisa berpikir dengan cerdas , kepala desa bkn pejabat publik terus yang dilayani kepala desa itu kalau bukan publik jin sebangsa setan kali ya . perlu dipahami sebab akibatnya jusuf kalla yang didukung itu klh apakah desa itu tidak tertinggal akibat politik balas dendam;yes
eropa amerika duduk santai saja bro menonton peralatan tempurnya menghancurkan militer puting . tidak perlu turun;yes
hu . dasar kardus durian ! ;yes
tidak punya malu banget ini orang tua , sudah jelas2 salah masih saja mabok , lain kali kalau pada minum jangan mengajak dia , mabok nya rese . yang kayak begini diangkat jadi ketua mk , aduh malu2in yang mulia jokowi saja sama putra mahkotanya;yes
hahaha mulut monyong munafik kau bib bib cuiiih;yes
mengurusi jakarta saja tidak becus mau urus banyak kota lain oke jawa , capres yang tidak malu ngibul tiap hari , sudah putus urat malunya;yes
pembual besar itu bohong;yes
sampah di dalam pdip itu adalah hasto  !;yes
caplin and geng sudah terlanjur jadi ;yes
inggris dungu  panen kadrun hasil ramah menerima imigran muslim garong;yes
tujuan hamas menyandera warga sipil bukan warga sipil israel saja tetapi ada warga sipil as , german , nepal , turki , argentina dan lainnya tujuannnya apa kalau bukan tindakan teroris ? ini yang namanya pejuang palestina ? hahahhaahah goblok itu namanya;yes
orang waras berotak tahu bisa mbedakan mana perbuatan yang biadab mana tindakan mbela diri memerangi teroris . orang pintar tau biang kerok perang ini siapa . beda sama yang kaum otak somplak fanatik buta .;yes
bagaimana drone ? haram tidak kereta apinya itu ? kalau haram , jangan naik . lari lagi kalau bepergian jauh . kan sudah biasa melarikan diri kalau ada masalah .;yes
yang tolol itu kamu dan tentara pembunuh anak;yes
biadab . andai hamas sembunyi di rs , idf bisa geledah tanpa harus memborbardir rs dan membunuh pasien . pendudukan israel di tanah palestina 76 tahun lebih telah memicu kebencian mendalam dan gerakan perlawanan yang as cap teroris . barat sejak dulu bangsa penjajah .;yes
mengurusi terus agama sama siapa sih , warga sendiri tidak diurusi , memang kelakuan kadrun kayak begitu;yes
hoax , kadrun , hoaks itu kadrun .;yes
tapi masih juga banyak orang dungu mendukungnya;yes
tuhan berpihak kepada yang benar  , otak kamu dipakai dikit kenapa ? kamu itu pendukung israel zionis , ahli genosida , setara hitler . propaganda busuk anti semit .;yes
sidang hanya untuk lawak2 saja .;yes
saran saya yang kemarin suka demo2 bela hamas saja dulu diterjunkan ke papua , siapa tau bisa menangkap kkb papua . kalau bisa paling para pemuja hamas jadi sasaran empuk kkb , hitung2 ngurangin penduduk yang intoleransi dan mengurangi para kadrun pks fpi jii , hti dan sih celana cingkrang sih kumis kambing hahaha;yes
nyebar hoax lagi ini sih mampus , koar2 hasilnya nol besar , hobi kok nyebar hoax memang cocok pasangan sama uban bokep ;yes
mana ada tetangganya yang suka . karena puting payudara suka mencuri dari negara lain .;yes
mohd holis anuar . pengamat tolol pemilih yang otaknya wars kan semua sudah pandai memilih tidak gradak gruduk jadi apa negeri ini . ente tau kagak , itu dalam pemilihan kepala desa , masyarakat sudah biasa nerima duit , malam hari sebelum atau pagi buta hari pemilihan . yang gede nabur yang menang .;yes
kalau komen agak beradap dikit boss . sudah sepintar apa dirimu sampai mentolol tolol kan orang . bermedson itu mesti bijak dikit . pake uu ite , baru tau rasa kamu .;yes
hamas sudah kalah telak sudah mau musnah maka para kadrun sedunia meminta gencatan senjata dengan dalil  . coba posisi terbalik . hamas yang menang perang . mana ada kata gencatan senjata dari para kadrun sedunia . hahaha;yes
sudah sejak1400 tahun sampai sekarang kalian jualan doa supaya yahudi mampus , mengutuk yahudi dan juga kristen , apakah tuhan tidak mendengar doa 1 , 8 milyar manusia yang hobinya jualan azab , jualan siksa kubur ? semakin dikutuk , semakin kuat , dan itu sudah tertulis di dalam torah dan injil . sadar woi !;yes
yaman negara termiskin di dunia ? kok ada warga yaman yang gaya2an di indonesia dengan pesawat pribadi dan mau nyapres ? apa tidak lebih baik pulang kampung membenahi negeri sendiri ?;yes
terserah kalian mau diapakan juga , mau dikorupsi pun silahkan . mau dibagi bagi pun boleh . saya doain kalian kagak akan menang;yes
ahok penghianat , penghancur demokrasi , probowo penjahat orba , anis pembelah bangsa , bila anda sehat pilih saya;yes
yang membela zionis sejatinya adalah orang g0bl0k dan dungu yang senantiasa membela penjajahan sudah tau negara indonesia dengan tegas menyatakan malawan segala bentuk penjajahan . ini kok masih di bela2 artinya itu dungu dan g0bl0k;yes
israel memang jago tipu daya , licik , biadab berani merusak fadilitas pbb , sebentar alasannya hamas menyerang dari sana , pbb ngijini , pbb tahu mana yang benar , di sini geroombolan idiot pro yahudi lebih baik diam , jangan sok tahu yang berujung fitnah .;yes
akibat orang tua kasih makan anak dengan uang haram ya begini  , fisik boleh sehat tetapi akhlaknya seperti syaiton , malu maluin oi;yes
memang kaum penyembah puting itu suka memutar balikkan fakta kayak yang disembahnya kaum maling tanah tetangga .;yes
otak kau kerdil bro . ganjar  menarasikan semangat nasionalisme .;yes
min . min . obatnya sudah di minum belum . ;yes
sekali kali aja sih mukidi rai gedek . hihihi;yes
negeri ini lalulintasnya acakadut , ulah pejabat dan kroninya yang acakadut , tidak memberi contoh baik , tapi bersikap arogan , feodal . sementara masyarakat dihimbau patuhi aturan lalu .;yes
mental para pejabat kita memang sangat banyak yang cacat , tidak tahu malu .;yes
biadab hamas teroris . orang tuanya di bunuh anaknya di culik di jdkan tameng israel . islam apakah mengajarkan seperti itu ? jangan-jangan hamas tidak beragama . hamas teroria harus di musnahkan .;yes
ya bukan kejahatan . tapi tidak perlu dipromosikan berlebihan , sekarang tiap film pasti ada tokoh gay . nya , jadi menjijikkan;yes
tikus got sudah di jerit2 dalam lobangnya tinggal tunggu palanya pecah;yes
kalau netanyahu berkata seperti ini , pasti habislah hamas . sungguh mengerikan . termasuk bos hamas yang ber foya foya di qatar , tidak lama lagi akan habislah mereka;yes
mencium batu hitam , sambil di desakkan dan injak2an bagaimana  ? tanggapi dengan cerdas !;yes
gajinya paling gede . makanya jadi yang paling stres . tolol kamu .;yes
sudah menetap tidak mau dan menguasai wilayah bang terakhir jadi seperti sih hamas teroris;yes
alasan klasik dari jaman nabi . pantas saja tidak maju2 . tapi gue lihat yang mending itu program naturalisasi nya malaysia , kelihatan di penyisihan ini di mulai dengan hasil positif banget;yes
konyol , ini mah pengkhianat gd;yes
